Timestamp,Extractor initials,Study ID (format: first author_year_letterIfNeeded ),DOI,"Provided citation, DOI or open access to published protocol","Provided Boolean-style full search string and state the platform for which the string is formatted (e.g., Web of Science format)",The authors indicated whether they considered non-English studies during the screening process,"Described the process by which the comprehensiveness of the search strategy was assessed (i.e., list of benchmark articles)","Described the methodology for screening articles/studies for relevance. Methods for consistency of screening decisions (at title, abstract, and full texts levels) checking must be described.",Provided the number of articles retained following full text screening,Provided a file and/or table containing raw extracted quantitative or qualitative data (study findings) from included studies,"Provided metadata (i.e. detailed description of extracted raw variables) in a separate table, list and/or file for included studies",Described any financial or non-financial competing interests that the review authors may have or provided a statement of the absence of any potential competing interests,Provided any supplemental files,The authors reported which languages were included in the literature search,"If the authors explicitly stated that they intended to include any studies in languages other than English in their final dataset, select “Yes”.",The authors reported using non-English search terms or provided search strings formatted for non-English databases as part of their search strategy.,"The authors described the data extraction process (who extracted, double-checking, and consistency)","The authors reported and visualised the review flow and the number of studies retained at each stage (e.g., in a PRISMA/ROSES diagram). ","The authors provided bibliographic information (for example, author, year, title, DOI) for all studies included in the synthesis.","The authors provided bibliographic information for studies excluded at the full-text screening stage, including reasons for exclusion.",The authors provided analysis and/or figure-generation computer code/scripts.
2/13/2026 11:20:46,SPH,Christin_2019,10.1111/2041-210X.13256,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,NA,No,No,Yes,No,No
2/13/2026 11:31:15,SPH,Gobeyn_2019,10.1016/j.ecolmodel.2018.11.013,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,NA,No,No,Yes,No,No
2/13/2026 11:43:15,SPH,Dujon_2019,10.3354/esr00958,No,Partially,No,No,No,Yes,Yes,Yes,No,Yes,No,No,NA,Yes,No,Yes,No,No
2/13/2026 13:03:39,SPH,Liu_2018,10.1139/er-2018-0034,No,Partially,No,No,No,No,No,No,No,No,No,No,NA,No,No,No,No,No
2/13/2026 13:11:59,SPH,Weinstein_2017,10.1111/1365-2656.12780,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,NA,NA,No,No,No,No
2/13/2026 13:21:33,SPH,Kulicki_2024,10.1007/s40725-024-00234-4,No,Yes,No,No,Partially,Yes,No,No,Yes,No,No,No,NA,Yes,No,No,No,No
2/13/2026 13:42:30,SPH,Bose_2025,10.1007/s10531-025-03169-9,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,NA,No,No,No,No,No
2/13/2026 13:55:52,SPH,Mkuzi_2025,10.3390/land14091873,No,Partially,No,No,Partially,Yes,No,No,Yes,No,No,No,NA,No,Yes,No,Yes,No
2/13/2026 14:15:40,SPH,Gallerani_2025,10.1111/jbi.15121,No,Partially,No,No,No,Yes,No,No,Yes,Yes,No,No,NA,No,No,Yes,No,No
2/13/2026 14:21:17,SPH,Liu_2025,10.3390/f16040704,No,Partially,No,No,No,No,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/13/2026 14:31:48,SPH,Xu_2025,10.3390/f16030449,No,Partially,No,No,No,Yes,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/13/2026 14:43:15,SPH,Kyalo_2025,10.1007/s42690-024-01406-2,No,Yes,No,No,Partially,Yes,No,No,Yes,No,Yes,No,NA,No,Yes,Yes,No,No
2/13/2026 15:02:47,SPH,Wu_2025,10.1016/j.gecco.2025.e03408,No,Partially,No,No,No,No,No,No,Yes,Yes,No,No,NA,No,No,No,No,No
2/13/2026 15:10:46,SPH,Suleman_2025,10.1016/B978-0-443-13367-1.00004-1,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,NA,No,No,No,No,No
2/13/2026 15:51:59,SPH,Morante-Carballo_2025,10.1016/j.wsee.2025.05.004,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,No,Yes,Yes,No,No
2/13/2026 15:59:39,SPH,Khabibullaev_2024,10.1051/bioconf/202414901078,No,Partially,No,No,No,No,No,No,No,No,No,No,NA,No,No,No,No,No
2/13/2026 16:14:05,SPH,Ozcan_2024,10.1007/s10661-024-12982-8,No,Partially,No,No,Partially,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
2/13/2026 16:36:11,SPH,Bao_2024,10.3390/f15071197,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,NA,No,No,No,No,No
2/15/2026 14:10:01,SPH,Zhong_2024,10.3390/f15050852,No,Yes,No,No,No,No,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/15/2026 14:17:04,SPH,Cardenas_2024,10.1016/j.marpolbul.2024.116273,No,Partially,No,No,No,Yes,No,No,Yes,No,Yes,No,NA,No,No,No,No,No
2/15/2026 18:26:02,SPH,Xu_2024,10.1016/j.jag.2024.103732,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,NA,No,No,Yes,No,No
2/15/2026 18:37:06,SPH,Ma_2024,10.1016/j.rse.2023.113924,No,Partially,No,No,No,Yes,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/15/2026 23:41:26,SPH,Matyukira_2024,10.1080/22797254.2024.2422330,No,Yes,No,No,No,No,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/15/2026 23:52:21,SPH,Safonova_2023,10.1016/j.jag.2023.103569,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,NA,No,No,Yes,No,No
2/16/2026 12:45:42,SPH,Lee_2023,10.1016/j.ecoinf.2023.102163,No,Partially,No,No,No,Yes,No,No,Yes,Yes,No,No,NA,No,No,No,No,No
2/16/2026 12:56:02,SPH,Hirchmugl_2023,10.1007/s10666-023-09897-y,No,Yes,No,No,Partially,No,No,No,Yes,No,No,No,NA,No,Yes,No,No,No
2/16/2026 13:06:26,SPH,Veiga-Branco_2023,10.1016/j.biocon.2023.110091,No,Yes,No,No,Partially,Yes,Yes,No,Yes,Yes,No,No,NA,No,No,Yes,No,No
2/16/2026 13:19:41,SPH,Pillodar_2023,10.3390/f14061080,No,Partially,No,No,Partially,Yes,No,Yes,Yes,No,Yes,No,NA,No,Yes,No,No,No
2/16/2026 17:22:37,SPH,Mulugeta_2024,10.3389/fpls.2023.1286088,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,NA,Yes,Yes,No,No,No
2/16/2026 19:00:41,SPH,Kerry_2022,10.1007/s11356-022-23242-y,No,Partially,No,No,No,No,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/16/2026 19:12:05,SPH,Katal_2022,10.3389/fpls.2022.805738,No,Partially,No,No,Partially,Yes,Yes,No,Yes,Yes,Yes,No,NA,No,Yes,No,No,No
2/16/2026 19:25:00,SPH,Amarathunga_2021,10.1016/j.atech.2021.100023,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,Yes,No,Yes,No,No
2/16/2026 19:33:39,SPH,Rana_2021,10.3389/ffgc.2020.587178,No,Partially,No,No,No,No,No,No,No,No,No,No,NA,No,No,No,No,No
2/16/2026 21:23:18,SPH,Houinato_2025,10.1016/j.tfp.2025.101102,No,Yes,No,No,Partially,Yes,No,No,Yes,No,Yes,No,NA,No,Yes,No,No,No
2/16/2026 21:34:55,SPH,Lee_2025,10.3390/w17223278,No,Partially,No,No,No,Yes,No,No,Yes,No,Yes,No,NA,No,Yes,No,No,No
2/22/2026 20:25:05,SPH,Haye_2025,10.1002/ece3.71829,No,Yes,No,No,Partially,Yes,No,No,Yes,No,No,No,NA,No,Yes,No,No,No
2/22/2026 20:44:59,SPH,MacielPelanda_2025,10.5327/Z2176-94782514,No,Partially,No,No,Partially,Yes,No,No,No,No,No,No,NA,No,No,Yes,No,No
2/16/2026 21:57:01,SPH,Shivaprakash_2022,10.3390/su14127154,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,NA,No,No,No,No,No
3/19/2026 18:52:21,SPH,Campbell_2025,10.1139/er-2025-0136,No,No,No,No,Partially,Yes,No,No,Yes,No,No,No,NA,No,Yes,No,No,No
